,ITEM_CODE,CATEGORY_NAME,ITEM_NAME,SUB_CATEGORY_NAME,A1_ITEM_CODE,Retailer Item Code,Description,A1_RET_ITEM_CODE,A1 Item Description,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A1_ITEM_NAME,STANDARD_UPC,RETAILER_ITEM_CODE,CATEGORY_ID,SUB_CATEGORY_ID,UPC,TITLE,DETAILED_DESCRIPTION
3780,0,BEER / WINE / ALCOHOL BEV.,HAVENS BLACK AND BLUE CAB NAPA,WINE - PREMIUM CABERNET,0,1202527011,ALL KITCHEN SPONGES AND PADS,1200190106,GRAPES BLACK,2,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
2787,0,BEER / WINE / ALCOHOL BEV.,CHOUFFE N'ICE CHOUFFE 4PK NR,BEERS - IMPORT,0,1202425496,ALL LAMB,1200190106,STARBUCKS MERCHANDISE,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
4183,0,BEER / WINE / ALCOHOL BEV.,LA VIGNETA MANGO MOSCATO,WINE - REGIONALS,0,1202235012,ALL OTHER EVERYDAY GIFTS,1200190106,BUTTER,3,75,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
13277,0,SPECIALTY FOODS,ESSEX GRAIN PANKO BREAD CRUMB,BAKING NON INGREDIENTS,0,8929846,ALL OTHER EVERYDAY GIFTS,1200190106,ELECTRO.WET MOPS AND CLOTHES,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
5652,0,BEER / WINE / ALCOHOL BEV.,SHUBREW PREMIUM TIER 4PK CANS,BEERS - SPECIALTY & MICRO,0,1202220636,ALL OTHER STATIONERY,1200190106,PRETZELS,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
2116,0,BEER / WINE / ALCOHOL BEV.,BAREFOOT VARIETY SELTZER 12PK,WINE- SINGLE SERVE,0,1202505697,ALTERNATE BRAND EVERYDAY CARDS,1200190106,LIQUOR - WHISKEY,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
2714,0,BEER / WINE / ALCOHOL BEV.,CHOUFFE N'ICE CHOUFFE 4PK NR,BEERS - IMPORT,0,1202425496,ALTERNATE BRAND EVERYDAY CARDS,1200190106,ING CAKE - LAYER/SHEET/CUPCAKE,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
2790,0,BEER / WINE / ALCOHOL BEV.,CHOUFFE N'ICE CHOUFFE 4PK NR,BEERS - IMPORT,0,1202425496,ALTERNATE BRAND EVERYDAY CARDS,1200190106,VITAMINS-MULTIPLES,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
3765,0,BEER / WINE / ALCOHOL BEV.,HAVENS BLACK AND BLUE CAB NAPA,WINE - PREMIUM CABERNET,0,1202527011,ALTERNATE BRAND EVERYDAY CARDS,1200190106,FRUIT SNACKS,2,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
4403,0,BEER / WINE / ALCOHOL BEV.,MACMURRAY RANCH CC PINOT NOIR,WINE - PINOT NOIR,0,1200444132,ALTERNATE BRAND EVERYDAY CARDS,1200190106,ALL OTHER STATIONERY,2,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
4406,0,BEER / WINE / ALCOHOL BEV.,MACMURRAY RANCH CC PINOT NOIR,WINE - PINOT NOIR,0,1200444132,ALTERNATE BRAND EVERYDAY CARDS,1200190106,CARROTS PREMIUM,2,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
4413,0,BEER / WINE / ALCOHOL BEV.,MACMURRAY RANCH CC PINOT NOIR,WINE - PINOT NOIR,0,1200444132,ALTERNATE BRAND EVERYDAY CARDS,1200190106,ANGUS BEEF LOINS,2,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
4572,0,BEER / WINE / ALCOHOL BEV.,NEW HOLLAND DRAGON'S SERIE 4PK,BEERS - SPECIALTY & MICRO,0,1201713207,ALTERNATE BRAND EVERYDAY CARDS,1200190106,POTATOES PREMIUM,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
10947,0,SEASONAL/PARTY/TOYS/CARDS,CARD BRTHDAY CROWN,HALLMARK CLASSIC,0,8941280,ALTERNATE BRAND EVERYDAY CARDS,1200190106,LIQUOR-42 PROOF OR LESS,1,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
10952,0,SEASONAL/PARTY/TOYS/CARDS,CARD BRTHDAY CROWN,HALLMARK CLASSIC,0,8941280,ALTERNATE BRAND EVERYDAY CARDS,1200190106,LIQUOR - VODKA,1,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
4284,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ANALGESICS,995396220,CHEESE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
9339,0,HAIR CARE,TIGI BH SELF ABSRBD SHP 13.53,PROFESSIONAL SHAMPOO,0,1202123546,ANALGESICS,995396220,BAKERY INGREDIENTS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
14013,0,TRIAL AND CLIP STRIP,ASSORTED 2PK ORIGINA,SBT STRIPS,0,1202436313,ANALGESICS,995396220,CITRUS:BAGGED,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
14727,0,VITAMINS,NN OMEGA GUMMIES,OMEGA / FATTY ACIDS,0,1200936958,ANALGESICS,995396220,FRESH BREAD & CAKE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
2124,0,BEER / WINE / ALCOHOL BEV.,BAREFOOT VARIETY SELTZER 12PK,WINE- SINGLE SERVE,0,1202505697,ANGUS BEEF LOINS,1200190106,QUARTS,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
2730,0,BEER / WINE / ALCOHOL BEV.,CHOUFFE N'ICE CHOUFFE 4PK NR,BEERS - IMPORT,0,1202425496,ANGUS BEEF LOINS,1200190106,TOMATOES PREMIUM,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
2791,0,BEER / WINE / ALCOHOL BEV.,CHOUFFE N'ICE CHOUFFE 4PK NR,BEERS - IMPORT,0,1202425496,ANGUS BEEF LOINS,1200190106,CHOICE CHKS (INCLUDE BRISKETS),1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
3766,0,BEER / WINE / ALCOHOL BEV.,HAVENS BLACK AND BLUE CAB NAPA,WINE - PREMIUM CABERNET,0,1202527011,ANGUS BEEF LOINS,1200190106,DONUTS - PLU,2,50,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
10774,0,SEASONAL GM,BIGFOOT PUSHER SHOVEL,SHOVELS/SCRAPERS,0,1202540171,ANTACID-LIQUID & GELS,1201359644,ALL OTHER STATIONERY,1,100,NB HAIR SKIN NAILS GMMIES 80CT,NA,NA,NA,NA,NA,NA,NA
715,0,AS SEEN ON TV & KAB,SAFE AND HEALTHY UV LIGHT,AS SEEN ON TV,0,1202568781,ANTI-FUNGAL,2404000,VITAMINS-SINGLE LETTERS,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1252,0,BEEF,LOCAL BF LN PORTERHOUSE STEAK,NATURAL BEEF,0,1201303543,ANTI-FUNGAL,2404000,SPANISH & MEXICAN CHEESES,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
4312,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,APPAREL,995396220,CITRUS:BAGGED,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4315,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,APPAREL,995396220,CHEESE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
5720,0,BEER / WINE / ALCOHOL BEV.,SKINNYGIRL WHITE CRNBRY COSMO,LIQUOR-42 PROOF OR LESS,0,1201057647,APPAREL,995396220,CONVENIENCE FOODS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
7652,0,DELI,HAMTKYCHS ONLY PLATTER SM,SANDWICH TRAYS,0,1200920502,APPAREL,995396220,MARGARINE & BUTTERS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
8406,0,EYE & EAR CARE,SAV SPX PLSTC LENS 200,FOSTER GRANT EYEWEAR,0,1202366636,APPAREL,995396220,HAIR CARE,1,50,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
9347,0,HAIR CARE,TIGI BH SELF ABSRBD SHP 13.53,PROFESSIONAL SHAMPOO,0,1202123546,APPAREL,995396220,STATIONERY,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
13806,0,SUPPLIES,8OZ WHITE FOOD PAIL,SUPPLIES,0,8925034,APPAREL,995396220,PREPARED FOODS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
9241,0,HAIR CARE,RKN ALL SOFT HEAVT CREAM,PROFESSIONAL CONDITIONER,0,1202120634,APPLESAUCE-GLASS & CANNED,2404000,TRADITIONAL WHITE BREAD,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
347,0,AS SEEN ON TV & KAB,CORDLES RECHARGEABLE FAN,AS SEEN ON TV,0,1202429057,AROMATHERAPY AND FRAGRANCES,995396220,WORLD WIDE FOODS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
352,0,AS SEEN ON TV & KAB,CORDLES RECHARGEABLE FAN,AS SEEN ON TV,0,1202429057,AROMATHERAPY AND FRAGRANCES,995396220,POTATOES,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
2216,0,BEER / WINE / ALCOHOL BEV.,BILTMORE ESTATE AMERCN RIESLIN,WINE - OTHER WHITE,0,1200003103,AROMATHERAPY AND FRAGRANCES,995396220,CHEESE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
2581,0,BEER / WINE / ALCOHOL BEV.,CHANDON SWEET STAR,WINE - SPARKLING WINES,0,1202105128,AROMATHERAPY AND FRAGRANCES,995396220,VITAMINS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4285,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,AROMATHERAPY AND FRAGRANCES,995396220,PREPARED FOODS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4293,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,AROMATHERAPY AND FRAGRANCES,995396220,HOUSEWARES,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4318,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,AROMATHERAPY AND FRAGRANCES,995396220,BAKERY,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
5721,0,BEER / WINE / ALCOHOL BEV.,SKINNYGIRL WHITE CRNBRY COSMO,LIQUOR-42 PROOF OR LESS,0,1201057647,AROMATHERAPY AND FRAGRANCES,995396220,BAKING,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
13789,0,SUPPLIES,8OZ WHITE FOOD PAIL,SUPPLIES,0,8925034,AROMATHERAPY AND FRAGRANCES,995396220,SNACKS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
724,0,AS SEEN ON TV & KAB,SAFE AND HEALTHY UV LIGHT,AS SEEN ON TV,0,1202568781,ART SUPPLIES-A,2404000,QUARTS,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
9153,0,HAIR CARE,P-M. X-BODY BOOSTER 8.5 OZ,PROFESSIONAL STYLING,0,1202120743,ART SUPPLIES-A,2404000,BAGGED CITRUS LEMONS/LIMES,2,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
722,0,AS SEEN ON TV & KAB,SAFE AND HEALTHY UV LIGHT,AS SEEN ON TV,0,1202568781,ARTIFICIAL TEARS,2404000,CLEVELAND CAVALIERS,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1256,0,BEEF,LOCAL BF LN PORTERHOUSE STEAK,NATURAL BEEF,0,1201303543,ARTIFICIAL TEARS,2404000,ALL OTHER STATIONERY,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1977,0,BEER / WINE / ALCOHOL BEV.,ALAMOS SELECCION MALBEC,WINE - IMPORTS,0,1200868114,ARTIFICIAL TEARS,2404000,CHILDREN'S NAME ITEMS,1,50,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1992,0,BEER / WINE / ALCOHOL BEV.,ALAMOS SELECCION MALBEC,WINE - IMPORTS,0,1200868114,ARTIFICIAL TEARS,2404000,ING CAKE - LAYER/SHEET/CUPCAKE,1,50,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
9249,0,HAIR CARE,RKN ALL SOFT HEAVT CREAM,PROFESSIONAL CONDITIONER,0,1202120634,ARTIFICIAL TEARS,2404000,SPECIALTY SALAD DRESSING,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
4000,0,BEER / WINE / ALCOHOL BEV.,JACOB'S CREEK SHIRAZ CABERNET,WINE - IMPORTS,0,1200232521,ARTISAN & FRMSTEAD,2404000,RTE ALL FAMILY,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
4472,0,BEER / WINE / ALCOHOL BEV.,MCMANIS CHARDONNAY,WINE - PREMIUM CHARDONNAY,0,1200996212,ARTISAN & FRMSTEAD,2404000,GRAB & GO,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
5625,0,BEER / WINE / ALCOHOL BEV.,SHEEP DOG PEANUT BUTTER WHISKY,LIQUOR-42 PROOF OR LESS,0,1202541647,ARTISAN & FRMSTEAD,2404000,QUARTS,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
9157,0,HAIR CARE,P-M. X-BODY BOOSTER 8.5 OZ,PROFESSIONAL STYLING,0,1202120743,ARTISAN & FRMSTEAD,2404000,GLUTEN FREE,2,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
10181,0,NATURAL PRODUCTS,MH OG EHEMP HEARTS HEMP SDS,RAW,0,1201123767,ARTISAN & FRMSTEAD,2404000,WINE - ZINFANDEL,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
13523,0,SPORTS,PITTSBURGH STEELERS DOMINOES,PITTSBURGH STEELERS,0,1202403438,ARTISAN & FRMSTEAD,2404000,PRETZELS,2,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1156,0,BATTERIES,ENRGZR LED VISION HEADLIGHT,FLASHLIGHTS,0,1201744863,AS SEEN ON TV,2404000,LIQUOR-42 PROOF OR LESS,1,100,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1973,0,BEER / WINE / ALCOHOL BEV.,ALAMOS SELECCION MALBEC,WINE - IMPORTS,0,1200868114,AS SEEN ON TV,2404000,VALENTINE CANDY,1,50,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
1991,0,BEER / WINE / ALCOHOL BEV.,ALAMOS SELECCION MALBEC,WINE - IMPORTS,0,1200868114,AS SEEN ON TV,2404000,QUARTS,1,50,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
2003,0,BEER / WINE / ALCOHOL BEV.,ALAMOS SELECCION MALBEC,WINE - IMPORTS,0,1200868114,AS SEEN ON TV,2404000,NON ALCOHOLICS - BEER,1,50,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
2007,0,BEER / WINE / ALCOHOL BEV.,ALAMOS SELECCION MALBEC,WINE - IMPORTS,0,1200868114,AS SEEN ON TV,2404000,COMEDY VIDEOS-RATED R,1,50,PARKAY QTRS,NA,NA,NA,NA,NA,NA,NA
