ITEM_NAME,ITEM_CODE,A1_ITEM_CODE,Retailer Item Code,Description,A1_RET_ITEM_CODE,A1 Item Description,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A1_ITEM_NAME,TITLE
*ALLEGRA-D 12 HR 30CT,246298,434178,1201147173,*ALLEGRA-D 12 HR 30CT,1200000122,NON ST ZERO COPAY (.01),9,75,NON ST ZERO COPAY (.01),
*ALLEGRA-D 20 CT 120MG 12HR,390093,205532,1200988275,*ALLEGRA-D 20 CT 120MG 12HR,1201279527,STATE FUNDED RX COPAY-FP ELIG*,4,66.66666667,STATE FUNDED RX COPAY-FP ELIG*,
*ALLEGRA-D 20 CT 120MG 12HR,390093,258832,1200988275,*ALLEGRA-D 20 CT 120MG 12HR,1200000124,ST FUND ZERO COPAY,4,66.66666667,ST FUND ZERO COPAY,
*ALLEGRA-D 20 CT 120MG 12HR,390093,434178,1200988275,*ALLEGRA-D 20 CT 120MG 12HR,1200000122,NON ST ZERO COPAY (.01),4,66.66666667,NON ST ZERO COPAY (.01),
*ALLEGRA-D 20 CT 120MG 12HR,390093,388439,1200988275,*ALLEGRA-D 20 CT 120MG 12HR,1200000164,NON STATE FUND RX,4,66.66666667,NON STATE FUND RX,
*AO-DECORATIVE SCENTED CRATE,936782,12892,1202555880,*AO-DECORATIVE SCENTED CRATE,8926516,CAMPBELLS CONDENSED SOUPS(579),3,100,ALLE GROUND BEEF 80% LEAN,
*AO-DECORATIVE SCENTED CRATE,936782,12971,1202555880,*AO-DECORATIVE SCENTED CRATE,8925416,BM WAFFLES 24CT(163504),3,100,L'OREAL TMC CREAMY NATURAL,
*CLARITIN D 10 CT 24HR ALLERGY,149399,434178,1201369211,*CLARITIN D 10 CT 24HR ALLERGY,1200000122,NON ST ZERO COPAY (.01),17,62.96296296,NON ST ZERO COPAY (.01),
*CLARITIN D 10 CT 24HR ALLERGY,149399,388439,1201369211,*CLARITIN D 10 CT 24HR ALLERGY,1200000164,NON STATE FUND RX,18,66.66666667,NON STATE FUND RX,
*CLARITIN D 10 CT 24HR ALLERGY,149399,258832,1201369211,*CLARITIN D 10 CT 24HR ALLERGY,1200000124,ST FUND ZERO COPAY,16,59.25925926,ST FUND ZERO COPAY,
*CLARITIN D 10 CT 24HR ALLERGY,149399,205532,1201369211,*CLARITIN D 10 CT 24HR ALLERGY,1201279527,STATE FUNDED RX COPAY-FP ELIG*,18,66.66666667,STATE FUNDED RX COPAY-FP ELIG*,
*CLARITIN D 12HR 30CT    PSE,363621,258832,1200749045,*CLARITIN D 12HR 30CT    PSE,1200000124,ST FUND ZERO COPAY,17,65.38461538,ST FUND ZERO COPAY,
*CLARITIN D 12HR 30CT    PSE,363621,388439,1200749045,*CLARITIN D 12HR 30CT    PSE,1200000164,NON STATE FUND RX,16,61.53846154,NON STATE FUND RX,
*CLARITIN D 12HR 30CT    PSE,363621,205532,1200749045,*CLARITIN D 12HR 30CT    PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,16,61.53846154,STATE FUNDED RX COPAY-FP ELIG*,
*CLARITIN D 12HR 30CT    PSE,363621,434178,1200749045,*CLARITIN D 12HR 30CT    PSE,1200000122,NON ST ZERO COPAY (.01),17,65.38461538,NON ST ZERO COPAY (.01),
*CLARITIN D 15 CT 24HR ALLERGY,78703,434178,1201369288,*CLARITIN D 15 CT 24HR ALLERGY,1200000122,NON ST ZERO COPAY (.01),28,66.66666667,NON ST ZERO COPAY (.01),
*CLARITIN D 15 CT 24HR ALLERGY,78703,205532,1201369288,*CLARITIN D 15 CT 24HR ALLERGY,1201279527,STATE FUNDED RX COPAY-FP ELIG*,30,71.42857143,STATE FUNDED RX COPAY-FP ELIG*,
*CLARITIN D 15 CT 24HR ALLERGY,78703,258832,1201369288,*CLARITIN D 15 CT 24HR ALLERGY,1200000124,ST FUND ZERO COPAY,29,69.04761905,ST FUND ZERO COPAY,
*CLARITIN D 15 CT 24HR ALLERGY,78703,388439,1201369288,*CLARITIN D 15 CT 24HR ALLERGY,1200000164,NON STATE FUND RX,29,69.04761905,NON STATE FUND RX,
*CLARITIN D 20 CT 12HR PSE,450277,434178,1200121088,*CLARITIN D 20 CT 12HR PSE,1200000122,NON ST ZERO COPAY (.01),10,66.66666667,NON ST ZERO COPAY (.01),
*CLARITIN D 20 CT 12HR PSE,450277,258832,1200121088,*CLARITIN D 20 CT 12HR PSE,1200000124,ST FUND ZERO COPAY,10,66.66666667,ST FUND ZERO COPAY,
*CLARITIN D 20 CT 12HR PSE,450277,205532,1200121088,*CLARITIN D 20 CT 12HR PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,10,66.66666667,STATE FUNDED RX COPAY-FP ELIG*,
*CLARITIN D 20 CT 12HR PSE,450277,388439,1200121088,*CLARITIN D 20 CT 12HR PSE,1200000164,NON STATE FUND RX,10,66.66666667,NON STATE FUND RX,
*CLARITIN D ALGY 12HR 10 CT.,324460,372602,1201740980,*CLARITIN D ALGY 12HR 10 CT.,1201170980,NON GOV ZERO COPAY*,2,100,NON GOV ZERO COPAY*,
*CLARITIN D ALGY 12HR 10 CT.,324460,358555,1201740980,*CLARITIN D ALGY 12HR 10 CT.,1200000170,STATE FUNDED RX,2,100,STATE FUNDED RX,
*CLARITIN D ALGY 12HR 10 CT.,324460,258832,1201740980,*CLARITIN D ALGY 12HR 10 CT.,1200000124,ST FUND ZERO COPAY,2,100,ST FUND ZERO COPAY,
*CLARITIN D ALGY 12HR 10 CT.,324460,205532,1201740980,*CLARITIN D ALGY 12HR 10 CT.,1201279527,STATE FUNDED RX COPAY-FP ELIG*,2,100,STATE FUNDED RX COPAY-FP ELIG*,
*FF-BLUE/WHITE HOLIDAY BQ.,37349,15536,8943665,BETSY ANN FOILS(341424),8920597,ONIONS: GREEN(14203),6,100,KUHNE DRESSING YOGURT AND DILL,
*GF-5 ST RAINBOW HYDRANGEAS,693804,12892,1201332052,*GF-5 ST RAINBOW HYDRANGEAS,8926516,CAMPBELLS CONDENSED SOUPS(579),38,71.69811321,ALLE GROUND BEEF 80% LEAN,
*MUCINEX D 36 CT DECONGEST PSE,425391,258832,1200873381,*MUCINEX D 36 CT DECONGEST PSE,1200000124,ST FUND ZERO COPAY,5,83.33333333,ST FUND ZERO COPAY,
*MUCINEX D 36 CT DECONGEST PSE,425391,205532,1200873381,*MUCINEX D 36 CT DECONGEST PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,5,83.33333333,STATE FUNDED RX COPAY-FP ELIG*,
*MUCINEX D 36 CT DECONGEST PSE,425391,388439,1200873381,*MUCINEX D 36 CT DECONGEST PSE,1200000164,NON STATE FUND RX,5,83.33333333,NON STATE FUND RX,
*MUCINEX D 36 CT DECONGEST PSE,425391,358555,1200873381,*MUCINEX D 36 CT DECONGEST PSE,1200000170,STATE FUNDED RX,5,83.33333333,STATE FUNDED RX,
*MUCINEX D MAX STRENGTH PSE,432559,205532,1200591255,*MUCINEX D MAX STRENGTH PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,3,50,STATE FUNDED RX COPAY-FP ELIG*,
*MUCINEX D MAX STRENGTH PSE,432559,125616,1200591255,*MUCINEX D MAX STRENGTH PSE,1200000024,ST FUND COPAY REFUND (.01),3,50,ST FUND COPAY REFUND (.01),
*MUCINEX D MAX STRENGTH PSE,432559,209595,1200591255,*MUCINEX D MAX STRENGTH PSE,1201279528,STATE FUNDED RX COPAY-FP ELIG*,3,50,STATE FUNDED RX COPAY-FP ELIG*,
*MUCINEX D MAX STRENGTH PSE,432559,258832,1200591255,*MUCINEX D MAX STRENGTH PSE,1200000124,ST FUND ZERO COPAY,3,50,ST FUND ZERO COPAY,
*TC ALLERGY LORATADINE D 24 H,871334,258832,1202385180,*TC ALLERGY LORATADINE D 24 H,1200000124,ST FUND ZERO COPAY,9,60,ST FUND ZERO COPAY,
*TC ALLERGY LORATADINE D 24 H,871334,388439,1202385180,*TC ALLERGY LORATADINE D 24 H,1200000164,NON STATE FUND RX,10,66.66666667,NON STATE FUND RX,
*TC ALLERGY LORATADINE D 24 H,871334,434178,1202385180,*TC ALLERGY LORATADINE D 24 H,1200000122,NON ST ZERO COPAY (.01),10,66.66666667,NON ST ZERO COPAY (.01),
*TC ALLERGY LORATADINE D 24 H,871334,454951,1202385180,*TC ALLERGY LORATADINE D 24 H,1201170969,NON GOVT FUND RX*,10,66.66666667,NON GOVT FUND RX*,
*ZYRTEC ADLT 12HR D 12CT PSE,310511,388439,1200909911,*ZYRTEC ADLT 12HR D 12CT PSE,1200000164,NON STATE FUND RX,9,81.81818182,NON STATE FUND RX,
*ZYRTEC ADLT 12HR D 12CT PSE,310511,434178,1200909911,*ZYRTEC ADLT 12HR D 12CT PSE,1200000122,NON ST ZERO COPAY (.01),9,81.81818182,NON ST ZERO COPAY (.01),
*ZYRTEC ADLT 12HR D 12CT PSE,310511,205532,1200909911,*ZYRTEC ADLT 12HR D 12CT PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,9,81.81818182,STATE FUNDED RX COPAY-FP ELIG*,
*ZYRTEC ADLT 12HR D 12CT PSE,310511,258832,1200909911,*ZYRTEC ADLT 12HR D 12CT PSE,1200000124,ST FUND ZERO COPAY,8,72.72727273,ST FUND ZERO COPAY,
*ZYRTEC ADULT 12HR D 24CT PSE,365692,205532,1200909912,*ZYRTEC ADULT 12HR D 24CT PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,21,56.75675676,STATE FUNDED RX COPAY-FP ELIG*,
*ZYRTEC ADULT 12HR D 24CT PSE,365692,258832,1200909912,*ZYRTEC ADULT 12HR D 24CT PSE,1200000124,ST FUND ZERO COPAY,21,56.75675676,ST FUND ZERO COPAY,
*ZYRTEC ADULT 12HR D 24CT PSE,365692,434178,1200909912,*ZYRTEC ADULT 12HR D 24CT PSE,1200000122,NON ST ZERO COPAY (.01),20,54.05405405,NON ST ZERO COPAY (.01),
*ZYRTEC ADULT 12HR D 24CT PSE,365692,388439,1200909912,*ZYRTEC ADULT 12HR D 24CT PSE,1200000164,NON STATE FUND RX,22,59.45945946,NON STATE FUND RX,
0149B ARDBEG AN OA,702083,16708,1202133394,0149B ARDBEG AN OA,8920704,STARBUCKS FRAPP 13.7 OZ SGL(42906),1,100,STRWBRY 1LB,
0864B BIRD DOG KENTUCKY 84,0,0,1202582414,BAKERY,1201622732,BEEF,1,100,REAMES HOMESTYLE EGG NOODLE,
0864B BIRD DOG KENTUCKY 84,0,0,1202582414,BAKERY,1201622732,LAUNDRY CARE,1,100,REAMES HOMESTYLE EGG NOODLE,
0864B BIRD DOG KENTUCKY 84,951969,28461,1202582414,0864B BIRD DOG KENTUCKY 84,8934902,SINGLE DONUTS(316017),1,100,MD CRISPY CURRY CHICKEN MK,
0864B BIRD DOG KENTUCKY 84,951969,14975,1202582414,0864B BIRD DOG KENTUCKY 84,8932434,MIKES 6PK NR(175894),1,100,PUMPONATOR W/ BALLOON TIE TOOL,
0864B BIRD DOG KENTUCKY 84,951969,100135,1202582414,0864B BIRD DOG KENTUCKY 84,1201622732,REAMES HOMESTYLE EGG NOODLE,1,100,REAMES HOMESTYLE EGG NOODLE,
1 LB PRETZELS CHOC COVERED,308248,12413,941116385,1 LB PRETZELS CHOC COVERED,8921637,CAULIFLOWER(6706),2,100,SB KCUP HOT CHOC 12CT,
1 LB PRETZELS CHOC COVERED,308248,12386,941116385,1 LB PRETZELS CHOC COVERED,8920086,FRISKIES WET CAT FOOD 5.5 OZ(11825),2,100,"FW 19"" CAGE W/ZOMBIE FIGURE",
1/2 LB CARAMELS SEA SALTED MLK,230517,12313,1201262605,1/2 LB CARAMELS SEA SALTED MLK,8925298,OM REG LUNCHABLES(9985),1,100,SNYDERS YORK PEPPERMINT PRETZE,
1/2 LB CARAMELS SEA SALTED MLK,230517,125287,1201262605,1/2 LB CARAMELS SEA SALTED MLK,1201100689,MISSION YELLOW CORN TORTILLA,1,100,MISSION YELLOW CORN TORTILLA,
1/2 SHEET DEC RAINBOW,798583,112418,1202250594,1/2 SHEET DEC RAINBOW,1200867328,OXI CLEAN MAX FORCE GEL STICK,1,100,OXI CLEAN MAX FORCE GEL STICK,
1/2 SHEET DEC RAINBOW,798583,110962,1202250594,1/2 SHEET DEC RAINBOW,1201203313,ES SWEET KALE SALAD,1,100,ES SWEET KALE SALAD,
1/2 SHEET DEC RAINBOW,798583,105118,1202250594,1/2 SHEET DEC RAINBOW,1200455526,GM CHEERIOS,1,100,GM CHEERIOS,
1/4 SHEET CHOC CHOC ICED,0,0,1202555576,HOUSEWARES,1200656349,CANNED VEGETABLES,1,100,LIME 2 LB,
1/4 SHEET CHOC CHOC ICED,0,0,1202555576,LIP REVLON PRODUCTS,1201278371,GINGERALE,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
1/4 SHEET CHOC CHOC ICED,0,0,1202555576,BATTERIES-A,1200656349,WINE - IMPORTS,1,100,LIME 2 LB,
1/4 SHEET CHOC CHOC ICED,934809,100803,1202555576,1/4 SHEET CHOC CHOC ICED,1200656349,LIME 2 LB,1,100,LIME 2 LB,
1/4 SHEET CHOC CHOC ICED,934809,103753,1202555576,1/4 SHEET CHOC CHOC ICED,1200234322,FRENCH ONION DIP 3500,1,100,FRENCH ONION DIP 3500,
1/4 SHEET CHOC CHOC ICED,934809,11021,1202555576,1/4 SHEET CHOC CHOC ICED,1200127744,SWISS PREMIUM LEMONADE10%JUICE,1,100,SWISS PREMIUM LEMONADE10%JUICE,
1/4 SHEET CHOC CHOC ICED,934809,10433,1202555576,1/4 SHEET CHOC CHOC ICED,1201278371,LIQUID PLUMR HAIR CLOG ELIMIN.,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
10' USB TYPE C 5O USB A CABLE,843042,28493,1202331717,10' USB TYPE C 5O USB A CABLE,8934926,ITALIAN BREAD(316129),6,100,UTZ CHOC COVERED PRETZELS,
10' USB TYPE C 5O USB A CABLE,843042,232694,1202331717,10' USB TYPE C 5O USB A CABLE,1201172831,BM WATER .5L 24PK,5,83.33333333,BM WATER .5L 24PK,
10' USB TYPE C TO A CABLE,763398,32979,1202204213,10' USB TYPE C TO A CABLE,9001988,BM SINGLE SLICED CHEESE(15033),5,100,LANDON BOWL,
"10"" PATIO",0,0,1202379787,BAKERY,1201622732,CEREALS,1,100,REAMES HOMESTYLE EGG NOODLE,
"10"" PATIO",868077,106045,1202379787,"10"" PATIO",157000774,ONION WHITE 12/2 LB,1,100,ONION WHITE 12/2 LB,
"10"" PATIO",868077,113303,1202379787,"10"" PATIO",1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,
"10"" PATIO",868077,100135,1202379787,"10"" PATIO",1201622732,REAMES HOMESTYLE EGG NOODLE,1,100,REAMES HOMESTYLE EGG NOODLE,
"10"" PURPLE FROSTED URN VASE",36814,175872,8941721,JOICO MOIST SHAMP/COND(338579),1200728837,BNLS BRST W/15% BROTH USA 969,3,75,BNLS BRST W/15% BROTH USA 969,
100 PC CHICKEN TENDERS,117080,14693,1201651795,100 PC CHICKEN TENDERS,8935531,SAMUEL ADAMS BEER(10062),3,75,MUG MAY THE SUN,
100 PC CHICKEN TENDERS,117080,12887,1201651795,100 PC CHICKEN TENDERS,8930711,MARIE C COMPLETE DINNERS(14173),3,75,MCCANN IRISH QUICK OATMEAL,
100% WILD BOAR BRISTLE,0,0,1202038702,RTE KIDS,1200002007,WATER,1,100,CARROT PREMIUM PETITES,
100% WILD BOAR BRISTLE,0,0,1202038702,MARKET DIST. KITCHEN TEXTILES,273680394,CHILDREN'S VIDEOS,1,100,S PACZKI - 6 COUNT,
100% WILD BOAR BRISTLE,0,0,1202038702,MARKET DISTRICT COOKWARE,273680394,NON ALCOHOLICS - BEER,1,100,S PACZKI - 6 COUNT,
100% WILD BOAR BRISTLE,628851,106584,1202038702,100% WILD BOAR BRISTLE,1200002007,CARROT PREMIUM PETITES,1,100,CARROT PREMIUM PETITES,
100% WILD BOAR BRISTLE,628851,104364,1202038702,100% WILD BOAR BRISTLE,273680394,S PACZKI - 6 COUNT,1,100,S PACZKI - 6 COUNT,
100% WILD BOAR BRISTLE,628851,113303,1202038702,100% WILD BOAR BRISTLE,1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,
1000 STORIES CABERNET,0,0,1202334208,DECORATOR ACCESSORIES-A,1202438308,SPICE - MISC & DSD SPICES,1,100,BRAIDED STRUDEL MIXED BERY 4CT,
1000 STORIES CABERNET,0,0,1202334208,JUDAIC ITEMS,1200234322,SHAMPOOS,1,100,FRENCH ONION DIP 3500,
1000 STORIES CABERNET,845800,10207,1202334208,1000 STORIES CABERNET,1202438308,BRAIDED STRUDEL MIXED BERY 4CT,1,100,BRAIDED STRUDEL MIXED BERY 4CT,
1000 STORIES CABERNET,845800,10413,1202334208,1000 STORIES CABERNET,1200879845,HANOVER CANDIED SWEET POTATOES,1,100,HANOVER CANDIED SWEET POTATOES,
1000 STORIES CABERNET,845800,103753,1202334208,1000 STORIES CABERNET,1200234322,FRENCH ONION DIP 3500,1,100,FRENCH ONION DIP 3500,
1000 STORIES CABERNET,845800,101587,1202334208,1000 STORIES CABERNET,873445435,BEEF RND MD CAB SIRLN TIP RST,1,100,BEEF RND MD CAB SIRLN TIP RST,
100PC DARK CHICKEN SERVE 66-76,0,0,1200058781,MAGAZINES,273680394,GRAB & GO,1,100,S PACZKI - 6 COUNT,
100PC DARK CHICKEN SERVE 66-76,0,0,1200058781,MALE CONTRACEPTIVES,273680394,IC GUM AND MINT (GUM),1,100,S PACZKI - 6 COUNT,
100PC DARK CHICKEN SERVE 66-76,129972,104364,1200058781,100PC DARK CHICKEN SERVE 66-76,273680394,S PACZKI - 6 COUNT,1,100,S PACZKI - 6 COUNT,
100PC DARK CHICKEN SERVE 66-76,129972,12313,1200058781,100PC DARK CHICKEN SERVE 66-76,8925298,OM REG LUNCHABLES(9985),1,100,SNYDERS YORK PEPPERMINT PRETZE,
100PC PRIME-FRIED CHICKEN,41151,15576,1200058755,100PC PRIME-FRIED CHICKEN,8925658,8 PIECE(214334),2,66.66666667,LOREAL KIDS CARN BRY RND SHMPO,
108D OLD FORESTER,0,0,507136000,PANCAKE SYRUP,1200505516,KOSHER ITEMS,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
108D OLD FORESTER,0,0,507136000,PROCESSED TIMESAVERS,157000774,SPECIALTY & HARDBOND BOOKS,1,100,ONION WHITE 12/2 LB,
108D OLD FORESTER,0,0,507136000,PROFESSIONAL CONDITIONER,157000774,VITAMINS-SINGLE LETTERS,1,100,ONION WHITE 12/2 LB,
108D OLD FORESTER,0,0,507136000,PROFESSIONAL SHAMPOO,157000774,ANGUS BEEF ROUNDS,1,100,ONION WHITE 12/2 LB,
108D OLD FORESTER,67049,106045,507136000,108D OLD FORESTER,157000774,ONION WHITE 12/2 LB,1,100,ONION WHITE 12/2 LB,
108D OLD FORESTER,67049,103089,507136000,108D OLD FORESTER,267146739,F.EXPRESS: HEARTS OF ROMAINE,1,100,F.EXPRESS: HEARTS OF ROMAINE,
108D OLD FORESTER,67049,108282,507136000,108D OLD FORESTER,1201388763,MAMA PIA'S HOMESTYLE PASTA SCE,1,100,MAMA PIA'S HOMESTYLE PASTA SCE,
108D OLD FORESTER,67049,104799,507136000,108D OLD FORESTER,1200505516,PARKAY WHIP SPRD SLVE 2/6.7Z,1,100,PARKAY WHIP SPRD SLVE 2/6.7Z,
10PC FOOD STORAGE GREEN,946473,136172,1202575262,10PC FOOD STORAGE GREEN,330064000,G.E. KING SIZE WHITE BREAD,6,100,G.E. KING SIZE WHITE BREAD,
"11""VINTAGE CHRISTMAS WALL ART",950465,12413,1202581015,"11""VINTAGE CHRISTMAS WALL ART",8921637,CAULIFLOWER(6706),3,100,SB KCUP HOT CHOC 12CT,
"11""VINTAGE CHRISTMAS WALL ART",950465,123215,1202581015,"11""VINTAGE CHRISTMAS WALL ART",4828000,KR PHILA CRM CHS BRICK,3,100,KR PHILA CRM CHS BRICK,
"11""VINTAGE CHRISTMAS WALL ART",950465,12367,1202581015,"11""VINTAGE CHRISTMAS WALL ART",8934067,PILLSBURY GRANDS BISCUITS(2091),3,100,BOTANIC CHOICE VITAMIN E 400,
12 PC FRIED CHICKEN BREAST,429963,15728,1201651794,12 PC FRIED CHICKEN BREAST,8933741,BAREFOOT CELL 1.5 LT(182833),6,85.71428571,10 LICENSED PLAYBALLS,
122D BEAMS EIGHT STAR,0,0,580120000,LIP L'OREAL,1201278371,KETCHUP/MUSTARD-ALL OTHER MUST,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
122D BEAMS EIGHT STAR,0,0,580120000,LIP L'OREAL,1201278371,VINEGAR/COOKING WINE-VINEG CID,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
122D BEAMS EIGHT STAR,0,0,580120000,LIQUOR - CORDIALS,932961886,LIQUOR - WHISKEY,1,100,STARFRUIT 25 USA,
122D BEAMS EIGHT STAR,213971,10433,580120000,122D BEAMS EIGHT STAR,1201278371,LIQUID PLUMR HAIR CLOG ELIMIN.,1,100,LIQUID PLUMR HAIR CLOG ELIMIN.,
122D BEAMS EIGHT STAR,213971,104335,580120000,122D BEAMS EIGHT STAR,932961886,STARFRUIT 25 USA,1,100,STARFRUIT 25 USA,
122D BEAMS EIGHT STAR,213971,103089,580120000,122D BEAMS EIGHT STAR,267146739,F.EXPRESS: HEARTS OF ROMAINE,1,100,F.EXPRESS: HEARTS OF ROMAINE,
12PC DARK CHICKEN SERVES 8-10,268735,12892,1200058767,12PC DARK CHICKEN SERVES 8-10,8926516,CAMPBELLS CONDENSED SOUPS(579),10,66.66666667,ALLE GROUND BEEF 80% LEAN,
12PC DARK CHICKEN SERVES 8-10,268735,15576,1200058767,12PC DARK CHICKEN SERVES 8-10,8925658,8 PIECE(214334),12,80,LOREAL KIDS CARN BRY RND SHMPO,
CHIPS AHOY! CHEWY  GOOCARAMEL,31225,14680,8937494,MB SPRSTY FUL COVER FNDT(323677),8922239,SARBMNTO DELI STYLE SLICES(12010),7,100,PEDRINI CHAMPAGNE OPENER 72 PK,"(3 Pack) Nabisco Chips Ahoy! Chewy Gooey Caramel Cookies, 10 Oz"
