Generated Prompts,Response,Category
What percentage of our Produce sales in Zone 20 are from promotions for the next six months?,"Call Movement API with {""product-name"" = ""Produce"", ""location-name"" = ""Zone 20"", week = ""next 6 months"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Produce"", ""location-name"" = ""Zone 20"", week = ""next 6 months"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Can you provide me with the percentage of sales from promotions for Bakery products for the first half of the year in Zone 1?,"Call Movement API with {""product-name"" = ""Bakery"", ""location-name"" = ""Zone 1"", ""start-date"" = ""01-01-YYYY"", ""end-date"" = ""06-30-YYYY"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Bakery"", ""location-name"" = ""Zone 1"", ""start-date"" = ""01-01-YYYY"", ""end-date"" = ""06-30-YYYY"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
What % of our Seafood sales come from promotions in Zone 450 for the last quarter?,"Call Movement API with {""product-name"" = ""Seafood"", ""location-name"" = ""Zone 450"", ""week"" = ""last quarter"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Seafood"", ""location-name"" = ""Zone 450"", ""week"" = ""last quarter"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
How much of our Deli product sales are from promotions in the current month in Zone 1?,"Call Movement API with {""product-name"" = ""Deli"", ""location-name"" = ""Zone 1"", ""week"" = ""current month"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Deli"", ""location-name"" = ""Zone 1"", ""week"" = ""current month"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
What percentage of our sales for Snacks and Confectionery are from promotions in the last six months in Zone 710?,"Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 710"", ""week"" = ""last six months"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 710"", ""week"" = ""last six months"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Can you tell me the percentage of sales from promotions for Household Supplies in Zone 880 for the next quarter?,"Call Movement API with {""product-name"" = ""Household Supplies"", ""location-name"" = ""Zone 880"", ""week"" = ""next quarter"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Household Supplies"", ""location-name"" = ""Zone 880"", ""week"" = ""next quarter"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Give me a comparison of Eye/Ear Care sales for Zone 1000 this year versus last year.,"Call Movement API with {""product-name"" = ""Eye/Ear Care"", ""location-name"" = ""Zone 1000"", year = ""last 1"", ""location-aggregate-level"" = ""week""} and Call Movement API with {""product-name"" = ""Eye/Ear Care"", ""location-name"" = ""Zone 1000"", year = ""current"", ""location-aggregate-level"" = ""week""}",Sales Comparison
Can you show me the YoY change in sales for Zone 500 Beauty and Cosmetics?,"Call Movement API with {""product-name"" = ""Beauty and Cosmetics"", ""location-name"" = ""Zone 500"", year = ""last 1"", ""location-aggregate-level"" = ""year""} and Call Movement API with {""product-name"" = ""Beauty and Cosmetics"", ""location-name"" = ""Zone 500"", year = ""current"", ""location-aggregate-level"" = ""year""} and Call Calculator API with {""operation"" = ""percentage change"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Sales Comparison
Provide me with a comparison of Snacks and Confectionery sales for Zone 150 over the last two years.,"Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 150"", year = ""last 2"", ""location-aggregate-level"" = ""week""} and Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 150"", year = ""current"", ""location-aggregate-level"" = ""week""}",Sales Comparison
Show me the percentage change in sales of Home Appliances in Zone 250 over the last 12 months.,,
Give me a comparison of sales for Personal Care products in Zone 750 for the current quarter and the same quarter last year.,,
What is the change in sales of Household Supplies in Zone 350 over the last three years?,,
Can you show me a comparison of Meat and Poultry sales for Zone 550 this month versus last month?,,
Provide me with the YoY change in sales for Dairy products in Zone 850.,,
Show me the percentage change in sales of Baby Care products in Zone 450 over the last six months.,,
Give me a comparison of Canned Goods sales for Zone 650 this quarter versus the same quarter two years ago.,,
Show me a comparison of Zone 1000 Eye/Ear Care sales from this year and the previous year.,,
Provide me with a year-to-year comparison of sales for Snacks and Confectionery in Zone 150.,,
Can you give me a list of upcoming items with a BOGO offer in the Home Decor category? Which of these items are on page 1 of the ad in Zone 670?,"Call Promo API with {""product-name"" = ""Home Decor"", ""location-name"" = ""Zone 670"", ""week"" = ""upcoming"", ""type"" = ""BOGO"", ""page-no"" = 1}",Promotions
Which products are planned to have a Buy One Get One Half Off offer in the next week for the Electronics category and in Zone 240?,"Call Promo API with {""product-name"" = ""Electronics"", ""location-name"" = ""Zone 240"", ""week"" = ""next week"", ""type"" = ""BOGO Half Off""}",Promotions
Give me a list of items that will be on sale in the coming week in the Fashion category. Which of these items are on the front page of the ad in Zone 360?,"Call Promo API with {""product-name"" = ""Fashion"", ""location-name"" = ""Zone 360"", ""week"" = ""coming week"", ""category"" = ""Fashion"", ""page-no"" = 1}",Promotions
What are the upcoming products with a BOGO Free offer in the Health and Wellness category? Which of these products are available in Zone 520?,"Call Promo API with {""product-name"" = ""Health and Wellness"", ""location-name"" = ""Zone 520"", ""week"" = ""upcoming"", ""type"" = ""BOGO Free""}",Promotions
Which items will be part of a Buy 2 Get 1 Free offer in the next few days in the Toys category in Zone 410?,"Call Promo API with {""product-name"" = ""Toys"", ""location-name"" = ""Zone 410"", ""week"" = ""next few days"", ""type"" = ""Buy 2 Get 1 Free""}",Promotions
Can you provide me with a list of products planned to be on sale next week in the Beauty category? Which of these items are in Zone 980?,"Call Promo API with {""product-name"" = ""Beauty"", ""location-name"" = ""Zone 980"", ""week"" = ""next week"", ""category"" = ""Beauty""}",Promotions
What products will be part of a 20% off promotion in the coming days in the Home Appliances category? Are any of these products available in Zone 120?,"Call Promo API with {""product-name"" = ""Home Appliances"", ""location-name"" = ""Zone 120"", ""week"" = ""coming days"", ""type"" = ""20% off""}",Promotions
Which products are planned to have a BOGO 50% off offer in the next week in the Baby Care category? Are any of these products available in Zone 820?,"Call Promo API with {""product-name"" = ""Baby Care"", ""location-name"" = ""Zone 820"", ""week"" = ""upcoming"", ""type"" = ""BOGO 50% off""}",Promotions
What are the upcoming products with a Buy 3 Get 1 Free offer in the Pet Supplies category? Which of these products are in Zone 710?,"Call Promo API with {""product-name"" = ""Pet Supplies"", ""location-name"" = ""Zone 710"", ""week"" = ""next few days"", ""type"" = ""Buy 3 Get 1 Free""}",Promotions
Give me a list of items that will be on sale in the coming week in the Grocery category. Which of these items are on the back page of the ad in Zone 590?,"Call Promo API with {""product-name"" = ""Grocery"", ""location-name"" = ""Zone 590"", ""week"" = ""coming week"", ""category"" = ""Grocery"", ""page-no"" = ""back""}",Promotions
Which products will be part of a Buy One Get One Free offer in the next few days in the Home Improvement category? Are any of these products available in Zone 380?,"Call Promo API with {""product-name"" = ""Home Improvement"", ""location-name"" = ""Zone 380"", ""week"" = ""next few days"", ""type"" = ""BOGO Free""}",Promotions
Give me a list of upcoming items with a BOGO 25% off offer in the Toys category. Which of these items are in Zone 950?,"Call Promo API with {""product-name"" = ""Toys"", ""location-name"" = ""Zone 950"", ""week"" = ""upcoming"", ""type"" = ""BOGO 25% off""}",Promotions
What products will be part of a 30% off promotion in the coming days in the Sports category? Are any of these products available in Zone 70?,"Call Promo API with {""product-name"" = ""Sports"", ""location-name"" = ""Zone 70"", ""week"" = ""coming days"", ""type"" = ""30% off""}",Promotions
Which items are planned to be on sale next week in the Kitchen Appliances category? Are any of these items on the endcaps in Zone 890?,"Call Promo API with {""product-name"" = ""Kitchen Appliances"", ""location-name"" = ""Zone 890"", ""week"" = ""next week"", ""category"" = ""Kitchen Appliances"", ""endcaps"" = ""yes""}",Promotions
Can you provide me with a list of products planned to be part of a Buy 2 Get 2 Free offer in the next few days in the Office Supplies category? Which of these products are available in Zone 580?,"Call Promo API with {""product-name"" = ""Office Supplies"", ""location-name"" = ""Zone 580"", ""week"" = ""next few days"", ""type"" = ""Buy 2 Get 2 Free""}",Promotions
What are the upcoming products with a Buy One Get One 25% off offer in the Health and Beauty category? Which of these products are in Zone 420?,"Call Promo API with {""product-name"" = ""Health and Beauty"", ""location-name"" = ""Zone 420"", ""week"" = ""upcoming"", ""type"" = ""BOGO 25% off""}",Promotions
Give me a list of items that will be part of a 10 for $10 promotion in the coming week in the Snacks category. Which of these items are on the side panels of the ad in Zone 300?,"Call Promo API with {""product-name"" = ""Snacks"", ""location-name"" = ""Zone 300"", ""week"" = ""coming week"", ""type"" = ""10 for $10"", ""page-no"" = ""side panels""}",Promotions
,,
What were the recommendations I approved for Zone 500 last week?,,
Show me the list of approved recommendations for Beauty products this month.,,
Give me the details of the recommendations approved by me yesterday for Home Essentials.,,
Which recommendations did I approve for Snacks category in the last 3 days?,,
Show me the list of approved recommendations for Dairy products in Zone 800 in the current month.,,
What were the recommendations I approved for Pet Supplies last week?,,
Give me the details of the recommendations approved by me yesterday for Personal Care.,,
Which recommendations did I approve for Beverages category in the last 5 days?,,
Show me the list of approved recommendations for Meat products in Zone 300 in the current month.,,
What were the recommendations I approved for Baby Care products last week?,,
,,
Show me the KVIs with scheduled price changes for Zone 200 in the next 3 weeks.,"Call KVI API with {""product-name"" = ""Center Store"", ""location-name"" = ""Zone 200""} and Call Price API with {""item-list"" = KVI API Response, ""location-name"" = ""Zone 200"", week = ""next 3"", change = ""Y""}",KVI / Price Change
Which KVIs for Beauty products have a price change scheduled in the next 2 weeks?,,
What are the KVIs for Zone 500 which have a scheduled price change in the coming month?,,
Show me the list of KVIs in Snacks category with scheduled price changes for Zone 336 in the next 4 weeks.,"Call KVI API with {""product-name"" = ""Snacks"", ""location-name"" = ""Zone 336""} and Call Price API with {""item-list"" = KVI API Response, ""location-name"" = ""Zone 336"", week = ""next 4"", change = ""Y""}",KVI / Price Change
What KVIs in Pet Supplies are scheduled for a price change in the next 2 weeks?,,
Give me the details of the KVIs in Dairy products that are scheduled for price change in the next 3 weeks.,,
Which KVIs for Beverages have scheduled price changes in the next 4 weeks?,,
Show me the KVIs in Meat category with scheduled price changes in the next month.,,
What are the KVIs for Baby Care products which have a price change scheduled in the coming 2 weeks?,,
Give me the details of the KVIs in Home Essentials that have scheduled price changes in the next 4 weeks.,,
,,
How does our current price position in Fresh Produce compare to Costco?,,
What is the average price of Cereal in Zone 25 compared to Target?,,
Is our price for Avocados competitive in the West Coast region compared to Safeway?,"Call Price Index API with {""product-name"" = ""Avacados"", ""location-name"" = ""West Coast"", ""competitor-name"" = ""Safeway""}",Competitor Comparison
What is the price difference between our store and Publix for Diapers in the midwest?,"Call Price Index API with {""product-name"" = ""Diapers"", ""location-name"" = ""Midwest"", ""competitor-name"" = ""Publix""}",Competitor Comparison
How does our price for Ice Cream in Zone 50 compare to Kroger?,,
What is our price position for Bread in the Northeast region compared to ShopRite?,,
Is our price for Soda in Zone 10 lower or higher than Albertsons?,,
How does our current price for Snacks compare to Meijer in the Midwest?,,
What is the average price of Ground Beef in Zone 75 compared to Whole Foods?,,
Is our price for Chips competitive in the South region compared to H-E-B?,,
Compare our current price position in Household Cleaning products to Target.,,
How do our prices for Snacks compare to Kroger in the last month?,,
What is the price difference for Beverages between us and Safeway?,,
Show me a comparison of our prices for Fresh Produce with Wegmans for the past week.,,
How does our pricing strategy for Meat compare to Costco's over the past year?,,
Compare our price position for Bakery items with Aldi for the next month.,,
What is the difference in price for Health & Beauty products between us and Walgreens in Zone 500?,,
How does our current price position for Pet Food compare to Petco?,,
Show me the comparison of our prices for Electronics with Best Buy in the last quarter.,,
Compare our price position for Toys and Games with Toys R Us in Zone 42.,,
,,
What are the most effective promotions for the Beauty category in the last 3 months in Zone 733?,"Call Promo Analysis API with {""product-name"" = ""Beauty"", ""top"" = 3, ""last"" = 3, ""aggregate_by"" = ""month"", ""location"" = ""Zone 733"" }",Promotion Analysis
Give me the top two promotions for Zone 500 Beverages in the last week.,"Call Promo Analysis API with {""product-name"" = ""Beverages"", ""top"" = 2, ""last"" = 1, ""aggregate_by"" = ""week"", ""location"" = ""Zone 500"" }",Promotion Analysis
Which are the most successful promotions for the Electronics category in Q2?,,
What are the top two promotions for Zone 750 Health & Wellness in the current month?,,
Show me the most effective promotions for the Home & Garden category in the last year.,,
Which promotions have worked best for the Toys & Games category in Zone 250 in the last 6 months?,,
Give me the top two promotions for the Snacks category in the current week.,,
What are the most effective promotions for Zone 1000 Pet Care in the last quarter?,,
Which promotions have shown the best results for the Cleaning Supplies category in the last 2 months?,,
Show me the two most successful promotions for the Baby Care category in the current month.,,
,,
Save this report in an Excel format.,"Call Export API with {""type"" = ""Excel"", data = Current Screen}",Export
Convert this report into an Excel file.,,
Download this report as an Excel spreadsheet.,,
Export this data to a Microsoft Excel file.,,
Transfer this report to an Excel document.,,
Save this report in a spreadsheet format.,,
Export this report to a CSV file.,"Call Export API with {""type"" = ""csv"", data = Current Screen}",Export
Create an Excel file for this report.,,
Save this report in an XLSX format.,,
Convert this report to an Excel workbook.,,
,,
Send this report via email to John.,,
Forward this report to Sarah.,"Call Email API with {""recipient"" = ""Sarah"", data = Current Screen}",Email
Share this report with Alex through email.,"Call Email API with {""recipient"" = ""Alex"", data = Current Screen}",Email
Distribute this report to Laura by email.,,
Transmit this report via email to Michael.,,
Deliver this report to Emily through email.,,
Dispatch this report to Kevin via email.,,
Transmit this report to Olivia through electronic mail.,,
Transfer this report to Rachel by email.,,
Direct this report to Thomas through email.,,
,,
Can you direct me to the screen where I can review and approve prices?,"Call Navigation API with {""screen-name"" = ""Price Review & Approval""}",Navigation
Navigate me to the price review and approval page.,"Call Navigation API with {""screen-name"" = ""Price Review & Approval""}",Navigation
I would like to access the screen where I can review and approve prices. Could you guide me there?,,
Show me the page for reviewing and approving prices.,,
Where can I find the screen to review and approve prices?,,
Please take me to the approval screen for prices.,,
"Guide me to the price review and approval screen, please.",,
Can you direct me to the screen where I can approve prices after review?,,
I need to access the screen for reviewing and approving prices. How can I get there?,,
Please show me the screen where I can approve prices after reviewing them.,,
