Generated Prompts,Response,Category
What percentage of our Produce sales in Zone 20 are from promotions for the next six months?,"Call Movement API with {""product-name"" = ""Produce"", ""location-name"" = ""Zone 20"", week = ""next 6 months"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Produce"", ""location-name"" = ""Zone 20"", week = ""next 6 months"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Can you provide me with the percentage of sales from promotions for Bakery products for the first half of the year in Zone 1?,"Call Movement API with {""product-name"" = ""Bakery"", ""location-name"" = ""Zone 1"", ""start-date"" = ""01-01-YYYY"", ""end-date"" = ""06-30-YYYY"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Bakery"", ""location-name"" = ""Zone 1"", ""start-date"" = ""01-01-YYYY"", ""end-date"" = ""06-30-YYYY"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
What % of our Seafood sales come from promotions in Zone 450 for the last quarter?,"Call Movement API with {""product-name"" = ""Seafood"", ""location-name"" = ""Zone 450"", ""week"" = ""last quarter"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Seafood"", ""location-name"" = ""Zone 450"", ""week"" = ""last quarter"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
How much of our Deli product sales are from promotions in the current month in Zone 1?,"Call Movement API with {""product-name"" = ""Deli"", ""location-name"" = ""Zone 1"", ""week"" = ""current month"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Deli"", ""location-name"" = ""Zone 1"", ""week"" = ""current month"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
What percentage of our sales for Snacks and Confectionery are from promotions in the last six months in Zone 710?,"Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 710"", ""week"" = ""last six months"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 710"", ""week"" = ""last six months"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Can you tell me the percentage of sales from promotions for Household Supplies in Zone 880 for the next quarter?,"Call Movement API with {""product-name"" = ""Household Supplies"", ""location-name"" = ""Zone 880"", ""week"" = ""next quarter"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Household Supplies"", ""location-name"" = ""Zone 880"", ""week"" = ""next quarter"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Give me a comparison of Eye/Ear Care sales for Zone 1000 this year versus last year.,"Call Movement API with {""product-name"" = ""Eye/Ear Care"", ""location-name"" = ""Zone 1000"", year = ""last 1"", ""location-aggregate-level"" = ""week""} and Call Movement API with {""product-name"" = ""Eye/Ear Care"", ""location-name"" = ""Zone 1000"", year = ""current"", ""location-aggregate-level"" = ""week""}",Sales Comparison
Can you show me the YoY change in sales for Zone 500 Beauty and Cosmetics?,"Call Movement API with {""product-name"" = ""Beauty and Cosmetics"", ""location-name"" = ""Zone 500"", year = ""last 1"", ""location-aggregate-level"" = ""year""} and Call Movement API with {""product-name"" = ""Beauty and Cosmetics"", ""location-name"" = ""Zone 500"", year = ""current"", ""location-aggregate-level"" = ""year""} and Call Calculator API with {""operation"" = ""percentage change"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Sales Comparison
Provide me with a comparison of Snacks and Confectionery sales for Zone 150 over the last two years.,"Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 150"", year = ""last 2"", ""location-aggregate-level"" = ""week""} and Call Movement API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 150"", year = ""current"", ""location-aggregate-level"" = ""week""}",Sales Comparison
Show me the percentage change in sales of Home Appliances in Zone 250 over the last 12 months.,,
Give me a comparison of sales for Personal Care products in Zone 750 for the current quarter and the same quarter last year.,,
What is the change in sales of Household Supplies in Zone 350 over the last three years?,,
Can you show me a comparison of Meat and Poultry sales for Zone 550 this month versus last month?,,
Provide me with the YoY change in sales for Dairy products in Zone 850.,,
Show me the percentage change in sales of Baby Care products in Zone 450 over the last six months.,,
Give me a comparison of Canned Goods sales for Zone 650 this quarter versus the same quarter two years ago.,,
Show me a comparison of Zone 1000 Eye/Ear Care sales from this year and the previous year.,,
Provide me with a year-to-year comparison of sales for Snacks and Confectionery in Zone 150.,,
Can you give me a list of upcoming items with a BOGO offer in the Home Decor category? Which of these items are on page 1 of the ad in Zone 670?,"Call Promo API with {""product-name"" = ""Home Decor"", ""location-name"" = ""Zone 670"", ""week"" = ""upcoming"", ""type"" = ""BOGO"", ""page-no"" = 1}",Promotions
Which products are planned to have a Buy One Get One Half Off offer in the next week for the Electronics category and in Zone 240?,"Call Promo API with {""product-name"" = ""Electronics"", ""location-name"" = ""Zone 240"", ""week"" = ""next week"", ""type"" = ""BOGO Half Off""}",Promotions
Give me a list of items that will be on sale in the coming week in the Fashion category. Which of these items are on the front page of the ad in Zone 360?,"Call Promo API with {""product-name"" = ""Fashion"", ""location-name"" = ""Zone 360"", ""week"" = ""coming week"", ""category"" = ""Fashion"", ""page-no"" = 1}",Promotions
What are the upcoming products with a BOGO Free offer in the Health and Wellness category? Which of these products are available in Zone 520?,"Call Promo API with {""product-name"" = ""Health and Wellness"", ""location-name"" = ""Zone 520"", ""week"" = ""upcoming"", ""type"" = ""BOGO Free""}",Promotions
Which items will be part of a Buy 2 Get 1 Free offer in the next few days in the Toys category in Zone 410?,"Call Promo API with {""product-name"" = ""Toys"", ""location-name"" = ""Zone 410"", ""week"" = ""next few days"", ""type"" = ""Buy 2 Get 1 Free""}",Promotions
Can you provide me with a list of products planned to be on sale next week in the Beauty category? Which of these items are in Zone 980?,"Call Promo API with {""product-name"" = ""Beauty"", ""location-name"" = ""Zone 980"", ""week"" = ""next week"", ""category"" = ""Beauty""}",Promotions
What products will be part of a 20% off promotion in the coming days in the Home Appliances category? Are any of these products available in Zone 120?,"Call Promo API with {""product-name"" = ""Home Appliances"", ""location-name"" = ""Zone 120"", ""week"" = ""coming days"", ""type"" = ""20% off""}",Promotions
Which products are planned to have a BOGO 50% off offer in the next week in the Baby Care category? Are any of these products available in Zone 820?,"Call Promo API with {""product-name"" = ""Baby Care"", ""location-name"" = ""Zone 820"", ""week"" = ""upcoming"", ""type"" = ""BOGO 50% off""}",Promotions
What are the upcoming products with a Buy 3 Get 1 Free offer in the Pet Supplies category? Which of these products are in Zone 710?,"Call Promo API with {""product-name"" = ""Pet Supplies"", ""location-name"" = ""Zone 710"", ""week"" = ""next few days"", ""type"" = ""Buy 3 Get 1 Free""}",Promotions
Give me a list of items that will be on sale in the coming week in the Grocery category. Which of these items are on the back page of the ad in Zone 590?,"Call Promo API with {""product-name"" = ""Grocery"", ""location-name"" = ""Zone 590"", ""week"" = ""coming week"", ""category"" = ""Grocery"", ""page-no"" = ""back""}",Promotions
Which products will be part of a Buy One Get One Free offer in the next few days in the Home Improvement category? Are any of these products available in Zone 380?,"Call Promo API with {""product-name"" = ""Home Improvement"", ""location-name"" = ""Zone 380"", ""week"" = ""next few days"", ""type"" = ""BOGO Free""}",Promotions
Give me a list of upcoming items with a BOGO 25% off offer in the Toys category. Which of these items are in Zone 950?,"Call Promo API with {""product-name"" = ""Toys"", ""location-name"" = ""Zone 950"", ""week"" = ""upcoming"", ""type"" = ""BOGO 25% off""}",Promotions
What products will be part of a 30% off promotion in the coming days in the Sports category? Are any of these products available in Zone 70?,"Call Promo API with {""product-name"" = ""Sports"", ""location-name"" = ""Zone 70"", ""week"" = ""coming days"", ""type"" = ""30% off""}",Promotions
Which items are planned to be on sale next week in the Kitchen Appliances category? Are any of these items on the endcaps in Zone 890?,"Call Promo API with {""product-name"" = ""Kitchen Appliances"", ""location-name"" = ""Zone 890"", ""week"" = ""next week"", ""category"" = ""Kitchen Appliances"", ""endcaps"" = ""yes""}",Promotions
Can you provide me with a list of products planned to be part of a Buy 2 Get 2 Free offer in the next few days in the Office Supplies category? Which of these products are available in Zone 580?,"Call Promo API with {""product-name"" = ""Office Supplies"", ""location-name"" = ""Zone 580"", ""week"" = ""next few days"", ""type"" = ""Buy 2 Get 2 Free""}",Promotions
What are the upcoming products with a Buy One Get One 25% off offer in the Health and Beauty category? Which of these products are in Zone 420?,"Call Promo API with {""product-name"" = ""Health and Beauty"", ""location-name"" = ""Zone 420"", ""week"" = ""upcoming"", ""type"" = ""BOGO 25% off""}",Promotions
Give me a list of items that will be part of a 10 for $10 promotion in the coming week in the Snacks category. Which of these items are on the side panels of the ad in Zone 300?,"Call Promo API with {""product-name"" = ""Snacks"", ""location-name"" = ""Zone 300"", ""week"" = ""coming week"", ""type"" = ""10 for $10"", ""page-no"" = ""side panels""}",Promotions
